sample_id,audio_path,filter_cutoff_normalized,spectral_centroid_hz,spectral_rolloff_85_hz,rms,zero_crossing_rate,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13
pilot_v1_00058,data\raw\audio\pilot_v1\pilot_v1_00058.wav,0.5575101971626282,278.93512158626106,142.99392700195312,0.03942875052827975,0.007044648863559059,-818.7892308094669,67.51829948139948,-4.4318427682532375,-4.671343688076427,-5.769496917587229,-6.244675114797651,-5.108270726063741,-5.563676843038527,-5.5051085313393004,-6.009907670061379,-6.267819620024045,-6.25602290558613,-6.002727891297759
pilot_v1_00059,data\raw\audio\pilot_v1\pilot_v1_00059.wav,0.6960468888282776,930.7199100796711,782.1767807006836,0.029663042713037192,0.014119532271596912,-635.8101584157685,61.810392561812705,-26.23134410808176,-9.814406598983549,-10.547439841517077,-3.863420065367401,-7.0033350767356,-5.216502752635061,-4.859346154553823,-2.8175834665375024,-4.349473989376111,-3.6292228892017504,-1.8564477673204456
pilot_v1_00060,data\raw\audio\pilot_v1\pilot_v1_00060.wav,0.4846494197845459,397.03350457397653,276.3988494873047,0.017791048096503784,0.011867058707926741,-861.783719052353,63.917615973740105,11.497652533195563,-6.865034105457172,-7.294297767188833,-9.925378828006973,-8.71038737144209,-5.780097444337861,-2.654122065271168,-1.990670111922127,-2.7900154315658896,-2.114667198306013,1.0649080860644193
pilot_v1_00061,data\raw\audio\pilot_v1\pilot_v1_00061.wav,0.6319198608398438,677.0410681825922,190.6024932861328,0.05960274330136109,0.00793656792568349,-550.5065734306188,79.84590486674401,-17.469727767217453,-4.169003248735732,-10.78826048529243,-4.888307500979844,-7.264221183001987,-4.6959504255756555,-5.977666660822747,-4.509783456984525,-5.425530626364337,-4.500672647024518,-5.0594310914708105
pilot_v1_00062,data\raw\audio\pilot_v1\pilot_v1_00062.wav,0.42605042457580566,865.3949268255404,256.5479278564453,0.05540075002723089,0.010536738750859795,-530.4450591001611,74.60765318155383,51.34982643093491,10.575274517747204,-1.5340711397784255,-1.3436050237277581,1.1776589062059046,-2.8812723721689384,-6.259398103213912,-8.218396809175896,-10.00289521592173,-15.331202963606836,-21.514540170946045
pilot_v1_00063,data\raw\audio\pilot_v1\pilot_v1_00063.wav,0.8267012238502502,1004.7721999772112,496.9459533691406,0.11417352363832242,0.006560896151898352,-638.4721164162582,16.131831229406394,-24.34314929739168,4.675153793311469,0.26654384547126425,2.6937022552618672,-4.29800086849103,-2.864988460473576,-2.7956744200287664,-0.6762827581864346,-4.572504878637984,-9.006902291004508,-14.245871112044032
pilot_v1_00064,data\raw\audio\pilot_v1\pilot_v1_00064.wav,0.340014785528183,418.486591530232,156.11572265625,0.02758566039254355,0.006455075246222571,-864.7219549621681,45.33953304301018,16.399278047152283,4.8102775610762025,7.888848054365434,2.644201394611265,-1.9903486670446957,-4.419836365539834,-4.247253175241889,-4.414002102216099,-6.4153961814516425,-10.595261938607276,-13.79083336558806
pilot_v1_00065,data\raw\audio\pilot_v1\pilot_v1_00065.wav,0.7751778960227966,726.0595342783014,233.0801010131836,0.05972102378646976,0.009780875138889939,-508.94777844306674,95.2643972365698,-1.0321464581209667,-18.666654358396457,10.301986123307548,4.245976076949041,-6.5280130692735785,-4.671168389297435,-2.026610519901336,-2.1816718911837607,-5.181600334810702,-14.686907097268428,-22.265027579499066
pilot_v1_00066,data\raw\audio\pilot_v1\pilot_v1_00066.wav,0.5706492066383362,568.9244655112208,495.6001281738281,0.04786930050025006,0.01455793316653943,-649.1259799926096,86.59483369996084,-9.02519762276411,-7.798228229562781,-13.365852121994976,-9.975334337826776,-8.547813158375494,-4.980160225274643,-2.7561801265898414,-1.6154911896740782,-2.1163618261870463,-3.312471072284077,-4.355380481597828
pilot_v1_00067,data\raw\audio\pilot_v1\pilot_v1_00067.wav,0.6834114193916321,635.8365147974984,624.1264343261719,0.020806210072207947,0.006288785251589203,-760.6967285145361,55.8199257307181,-17.137159633731738,-5.634155044231152,-10.405305960705062,-4.507705083704522,-5.054044862411156,-0.5341904084742182,0.5172758888398007,1.0727291495678977,-2.262482008484555,-2.5699782359471874,0.6092154641208879
pilot_v1_00068,data\raw\audio\pilot_v1\pilot_v1_00068.wav,0.5058497786521912,339.86437110745527,291.62349700927734,0.03091965578541836,0.006742303418771117,-735.9150872056815,81.13307879277475,1.5739824084928318,-0.4334633942237973,-5.145697366484254,-5.91283174828799,-5.067283408732499,-3.634306797644967,-1.7193593595697658,-2.5446821277276954,-3.169360048921855,-2.360561770997773,0.7826176387329102
pilot_v1_00069,data\raw\audio\pilot_v1\pilot_v1_00069.wav,0.6101488471031189,459.5699910786427,262.1835708618164,0.015099842757747105,0.006001557079040658,-840.8666117726065,61.967744354434885,-6.02153732611703,-12.749817283868238,-7.673923184530834,-7.414952583598212,-3.363479127194455,-2.8487420570376822,-3.6439563074699683,-5.237513423987394,-6.4243261792847886,-6.532221020630678,-4.9492781449499486
